"","Year","CountryCode","Access to electricity (% of population)","Access to electricity, urban (% of urban population)","Population ages 15-64, total","Population ages 15-64, male","Population ages 15-64, female","Population, total","Population ages 15-64 (% of total population)","Urban population","Urban land area (sq. km)","CO2 emissions from transport (% of total fuel combustion)","Railways, passengers carried (million passenger-km)","Rail lines (total route-km)","Adjusted net national income per capita (constant 2010 US$)","GDP per capita (constant 2010 US$)","Public private partnerships investment in ICT (current US$)","Investment in ICT with private participation (current US$)","Mobile cellular subscriptions (per 100 people)","Individuals using the Internet (% of population)","Fixed broadband subscriptions (per 100 people)","Researchers in R&D (per million people)","Research and development expenditure (% of GDP)","CO2 emissions (metric tons per capita)","Urban population (% of total population)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Gross enrolment ratio, lower secondary, both sexes (%)","joinID","Registrations or Sales of New Vehicles","Vehicles in Use","Number of registered passenger cars (in thousand)","Number of taxis or taxicabs (in thousand)","Total number of registered motorcycles (in thousand)","Number of public buses (in thousand)","Number of traffic accident casualties (injuries) by road","Total number of registered buses (in thousand)","Total number of registered road motor vehicles (in thousand)","the total length of the road network and includes the length of the paved and unpaved portions (km)","Number of Charging Station","Number of Car Sharing","Number of Public Transport Node","Google Trends for Grab","Google Trends for Google Maps","Road accidents deaths (nbr)","Road accidents injury (nbr)","Road accidents deaths (per 1MM habitants)","Accidents involving casualities (nbr)","Road accidents deaths (per 1MM vehicles)","Infrastructure investment rail (eur)","Infrastructure investment road (eur)","Infrastructure investment inland total (percentage GDp)","Infrastructure investment sea (eur)","Infrastructure investment air (eur)","Infrastructure investment inland waterways (eur)","Infrastructure maintenance rail (eur)","Infrastructure maintenance road (eur)","Infrastructure maintenance air (eur)","Infrastructure maintenance sea (eur)","Infrastructure maintenance inland waterways (eur)","Passenger transport by rail (MM pkm)","Passenger transport by road (MM pkm)","Passenger transport by inland (MM pkm)","Country"
"1",2001,"ARG",95.5110634674458,95.9759826660156,23118523,11284774,11833716,37275652,62.0204389717985,33297967,NA,28.3806862288465,NA,NA,6209.82346811907,7776.13787206685,NA,NA,18.08631275,9.780807285,0.252175334,688.2777,0.42461,3.58735031650151,89.329,71.8199996948242,118.25611,"ARG2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25286.633953817,NA,"Argentina"
"2",2002,"ARG",96.10791015625,96.1697845458984,23443110,11446497,11996573,37681749,62.2134338828062,33728934,NA,28.0075651673382,NA,NA,5464.64542673164,6854.29408086406,NA,NA,17.42684502,10.88212438,0.392763085,692.19186,0.38886,3.3096836879838,89.51,71.6699981689453,116.25991,"ARG2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24807.918815452,NA,"Argentina"
"3",2003,"ARG",96.384895324707,96.3741073608398,23767648,11610885,12156727,38087868,62.402148631685,34159485,NA,26.7334301658895,NA,NA,5985.28965365887,7380.4670873289,NA,NA,20.58984504,11.91369655,0.679610106,718.52276,0.41013,3.5460883239776,89.686,73.6900024414063,114.62478,"ARG2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28189.802854194,NA,"Argentina"
"4",2004,"ARG",96.6386489868164,96.5962295532227,24098002,11779972,12318013,38491972,62.60526740485,34588886,NA,25.858186036989,NA,NA,5851.14125968868,7962.41230916816,NA,NA,35.10441866,16.03668411,1.410369414,765.64017,0.40376,4.09408291682224,89.86,74.379997253418,115.83869,"ARG2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30231.20386274,NA,"Argentina"
"5",2005,"ARG",96.8673934936523,96.8414840698242,24435888,11953968,12481920,38892931,62.8286101656879,35015695,NA,26.5140868634143,8640.7627436806,3150,6197.71353927243,8577.86499429459,NA,NA,56.96774563,17.72058337,2.382751765,819.37769,0.42074,4.16812854757591,90.031,74.75,114.42507,"ARG2005",402690,7005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8640.7627436806,32980.546529808,41621.309273488,"Argentina"
"6",2006,"ARG",97.0800247192383,97.1075592041016,24749594,12112636,12636956,39289878,62.9922902789365,35439470,NA,26.3310440425934,9052.390462155,13488,7387.61294184689,9174.50245831662,NA,NA,80.19976545,20.9272021,4.030842244,891.83275,0.45216,4.46518602068451,90.2,75.6500015258789,113.34396,"ARG2006",460478,7175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9052.390462155,36054.702001354,45107.092463509,"Argentina"
"7",2007,"ARG",97.2881317138672,97.3902206420898,25080390,12280930,12799454,39684295,63.1997872206121,35861110,NA,25.6447424050251,8715.4385913024,NA,8182.14527174693,9901.51188115634,NA,NA,101.8079595,25.94663294,6.551710192,974.71808,0.46007,4.41424641662401,90.366,76.3600006103516,114.40126,"ARG2007",564926,7739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8715.4385913024,36459.644967842,45175.083559144,"Argentina"
"8",2008,"ARG",97.5032958984375,97.6852264404297,25420356,12455040,12965307,40080160,63.4237887273903,36284569,NA,25.5363713557883,9237.510554638,NA,8576.34544356986,10201.4759370923,NA,NA,116.0393921,28.11262348,7.771278857,1035.99886,0.47055,4.7182244282458,90.53,76.3199996948242,117.5209,"ARG2008",611770,8460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5759,NA,143.6870511495,197061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9237.510554638,37328.292253227,46565.802807865,"Argentina"
"9",2009,"ARG",97.7371063232422,97.9883422851563,25755690,12628101,13127587,40482788,63.6213345780434,36714245,NA,24.0184757505774,9108.0603687135,NA,7903.82425528784,9502.24358504659,NA,NA,129.6422074,34,8.672885869,1035.62531,0.58398,4.44538780283611,90.691,75.9599990844727,123.76553,"ARG2009",487142,8955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5219,90446,128.91898650854,180029,317.92186919297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9108.0603687135,38027.884634981,47135.945003695,"Argentina"
"10",2010,"ARG",98.82,99.6886825561523,26010395,12762675,13247722,40788453,63.7690168895782,37055902,55032.20313,24.9827308312227,8817.8723669107,NA,8803.45461792655,10385.9644319555,NA,NA,139.580018,45,9.850015718,1123.83311,0.56104,4.60680413645499,90.849,76.4400024414063,128.41853,"ARG2010",698404,10116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5094,91416,124.88828639811,174828,286.96324943799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8817.8723669107,43970.071924153,52787.944291063,"Argentina"
"11",2011,"ARG",99.278694152832,99.9071731567383,26358138,12939409,13418717,41261490,63.8807226437241,37543830,NA,27.1829120211944,7287.9333902597,NA,9528.23847131677,10883.315359489,NA,NA,146.9554555,51,11.0647814,1180.67303,0.56597,4.64410645374173,90.99,76.9000015258789,125.79077,"ARG2011",883350,10959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5040,93036,122.14779446889,187204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7287.9333902597,43220.012559096,50507.945949355,"Argentina"
"12",2012,"ARG",99.4978561401367,99.9671783447266,26687229,13107879,13579342,41733271,63.9471288794812,38027774,NA,26.2837437361927,6002.5177929744,NA,9300.88094635287,10649.8372874572,NA,NA,154.059023,55.8,12.33040075,1203.37119,0.63491,4.62525961600278,91.121,77.0100021362305,127.2678,"ARG2012",830058,11477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5074,116988,121.58165124416,116988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6002.5177929744,44054.443650011,50056.961442985,"Argentina"
"13",2013,"ARG",99.4765548706055,99.9826507568359,27002574,13270648,13731914,42202935,63.9826922106179,38509756,NA,25.2834780684772,5035.0018230423,18097,9366.76473303919,10784.6306992057,NA,NA,159.6394613,59.9,14.81423726,1198.26439,0.61849,4.58977417091963,91.249,76.4499969482422,127.80954,"ARG2013",963917,12456.535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5209,113716,123.42743460852,161920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5035.0018230423,42920.528858953,47955.530681996,"Argentina"
"14",2014,"ARG",100,99.8576202392578,27315081,13433298,13881778,42669500,64.0154698523561,38990109,NA,24.1671430798815,5733.5770156506,18097,8902.84114922316,10398.6940069464,NA,NA,143.6158316,64.7,15.29042819,1206.94193,0.59396,4.5882296019405,91.377,76.3499984741211,127.94081,"ARG2014",613848,13375.987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5279,80705,123.71834682853,129076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5733.5770156506,43361.325634848,49094.902650499,"Argentina"
"15",2015,"ARG",99.8271179199219,99.9840850830078,27630346,13598655,14031690,43131966,64.0600197569769,39467043,NA,NA,6883.5652307941,NA,9167.89062134819,10568.1578087083,NA,1.619e+09,143.566834,68.04306411,15.91589272,1230.53948,0.62262,4.6640107478523,91.503,75.9599990844727,128.4297,"ARG2015",644021,13736.226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6883.5652307941,44538.459082498,51422.024313292,"Argentina"
"16",2016,"ARG",99.9591217041016,99.9836120605469,27924237,13750132,14174088,43590368,64.0605666116429,39940546,NA,NA,8065.3684635781,17609,8873.50278679212,10239.4813479933,NA,NA,146.4538276,70.96898082,16.66727115,1259.64008,0.55815,4.61908548237078,91.627,75.1800003051758,130.24556,"ARG2016",709482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5582,NA,128.05581269697,NA,258.02470944832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8065.3684635781,46838.665001874,54904.033465453,"Argentina"
"17",2017,"ARG",100,99.9870910644531,28225466,13906479,14318968,44044811,64.0835225051061,40410674,NA,NA,8360.7820221858,17609,9091.38954785537,10419.455405282,NA,NA,140.8771235,74.29490687,17.84999661,1192.22598,0.54152,NA,91.749,74.6600036621094,130.57981,"ARG2017",862332,NA,NA,NA,NA,NA,NA,NA,NA,281290,NA,NA,NA,NA,NA,5420,113173,123.05649353337,102623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8360.7820221858,48784.351366258,57145.133388444,"Argentina"
"18",2018,"ARG",100,100,28530443,14065973,14464449,44494502,64.1212772887989,40877099,NA,NA,NA,17866,8870.41805495477,10049.5552392518,NA,NA,132.0931513,NA,19.10152239,NA,NA,NA,91.87,74.4700012207031,NA,"ARG2018",803050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Argentina"
"19",2019,"ARG",NA,NA,28833291,14225768,14607508,44938712,64.1613658498285,41339571,NA,NA,NA,NA,NA,9742.45541691587,NA,NA,125.842106,NA,19.63610555,NA,NA,NA,91.991,73.4899978637695,NA,"ARG2019",408674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Argentina"
"20",2020,"ARG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARG2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Argentina"
"21",2001,"AUS",100,99.9225692749023,12992714,6540220,6452508,19413000,66.9279058272004,16326333,NA,21.8162624989004,12149.624986664,9508,32023.3675228809,44585.2111928867,NA,NA,57.99526035,52.68926643,0.639760867,NA,NA,16.7333674341936,84.1,79.8000030517578,NA,"AUS2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1737,27482,89.476124246639,NA,139.21875755154,366910463.5529,3261995407.4396,0.89118408773079,168709023.873,NA,NA,NA,NA,NA,NA,NA,12149.624986664,254426.90177657,266576.52676324,"Australia"
"22",2002,"AUS",100,99.8595199584961,13175884,6629516,6546361,19651400,67.048065888962,16550802,NA,21.8102633162374,12005.65718487,9514,33056.9663855388,45806.7194040019,NA,NA,65.30467336,NA,1.330318563,3771.53817,1.75161,17.3704517744283,84.222,79.6600036621094,NA,"AUS2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1715,27958,87.271135898715,NA,133.7544844798,662954843.00173,3429883601.007,0.94127421435513,180428527.69773,NA,NA,NA,NA,NA,NA,NA,12005.65718487,260519.1862561,272524.84344097,"Australia"
"23",2003,"AUS",100,99.8050689697266,13360398,6719456,6640925,19895400,67.1532028418431,16780377,NA,21.6516465453721,12021.773106727,9474,33822.9948430022,46595.9234893124,NA,NA,73.10883938,NA,2.633487711,NA,NA,16.9019589452838,84.343,80.129997253418,NA,"AUS2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1621,28446,81.476120108166,NA,123.14821849123,748523928.5745,4084762235.5342,1.0511594836197,193562405.45824,NA,NA,NA,NA,NA,NA,NA,12021.773106727,267143.38190997,279165.1550167,"Australia"
"24",2004,"AUS",100,99.7684173583984,13534758,6805811,6728928,20127400,67.2454377841379,17000206,NA,21.5927996727124,12087.046535813,9526,35205.6541621636,47926.7258598649,NA,NA,82.89884796,NA,5.090633139,4084.15159,1.85456,17.0265153472381,84.463,80.3399963378906,NA,"AUS2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1583,28886,78.649005832845,NA,116.97332446612,1105364375.8845,5192125950.6944,1.2356147630944,418766643.9962,NA,NA,NA,NA,NA,NA,NA,12087.046535813,279135.62501935,291222.67155516,"Australia"
"25",2005,"AUS",100,99.7548980712891,13728581,6904284,6824299,20394800,67.3141218343844,17250330,NA,21.3271671327167,12062.893352373,9528,35580.7321822105,48813.9164122463,NA,NA,91.28509793,63,9.990812021,NA,NA,17.1697114460549,84.582,80.3499984741211,NA,"AUS2005",988269,13612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1627,30597,79.775236825073,NA,116.88218390805,1496283128.6361,6753177989.5345,1.4555461956198,578362757.79689,NA,NA,NA,NA,NA,NA,NA,12062.893352373,279904.61737106,291967.51072343,"Australia"
"26",2006,"AUS",100,99.7621994018555,13967584,7027265,6940314,20697900,67.4830971753657,17531121,NA,21.5264343447728,12590.874021192,9639.33,36321.9690133319,49443.2322862009,NA,NA,96.26672665,66,19.00001184,4248.25649,2.18552,17.6513983061083,84.7,81.0400009155273,NA,"AUS2006",962666,13979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1598,32288,77.205900115471,NA,111.28908698377,1251611424.677,6972545187.0836,1.3757533394217,700741159.36186,NA,NA,NA,NA,NA,NA,NA,12590.874021192,275480.52842749,288071.40244868,"Australia"
"27",2007,"AUS",100,99.7860794067383,14083094,7090020,6993095,20827600,67.6174574294628,17666387,NA,21.5666537617757,13212.731578192,9655.416,37514.8612179257,51024.20916188,NA,NA,101.6430022,69.45,NA,NA,NA,17.8652600395629,84.822,81.6900024414063,NA,"AUS2007",1049982,14320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1603,32552,76.965180817761,NA,108.49407783418,1962260345.0615,8026364946.6564,1.5039090993592,701941567.16573,NA,NA,NA,NA,NA,NA,NA,13212.731578192,278956.61243652,292169.34401471,"Australia"
"28",2008,"AUS",100,99.8223114013672,14382253,7245568,7136720,21249200,67.6837386642461,18049708,NA,21.8643415822541,14276.384048686,9661.027,38608.8616528559,51841.2609971277,NA,NA,103.6926101,71.67,24.91529036,4343.12653,2.4037,18.1608756564953,84.943,81.8099975585938,NA,"AUS2008",1012165,14729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1437,33524,67.626075334601,NA,93.942800928471,1734889810.4184,9304510165.2557,1.634368260607,1061627794.9003,NA,NA,NA,NA,NA,NA,NA,14276.384048686,280755.51153837,295031.89558705,"Australia"
"29",2009,"AUS",100,99.8666458129883,14679103,7398431,7280709,21691700,67.6715177718794,18451611,NA,21.4610373213474,15004.14159834,9674.002,40156.0967136885,51767.4024588708,NA,NA,102.0649721,74.25,24.00365852,NA,NA,18.2001819589981,85.063,81.7600021362305,NA,"AUS2009",937328,15050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1491,33692,68.735968135278,NA,95.123039833778,2284971414.3283,9195852832.0698,1.6229029199021,1170537222.0027,NA,NA,NA,NA,NA,NA,NA,15004.14159834,279946.68316453,294950.82476287,"Australia"
"30",2010,"AUS",100,99.914306640625,14891504,7506055,7385446,22031750,67.5911079551186,18767085,36745.70313,22.4854957128921,14992.79186061,8615.388,40009.6690384468,52022.1255961876,NA,NA,101.558682,76,24.8705928,4532.40149,2.37586,17.7408450531619,85.182,81.629997253418,NA,"AUS2010",1035574,15401.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1353,32775,61.411372224176,NA,84.240815914329,3611610590.3921,11200596050.662,1.6435775596733,1812219800.4345,NA,NA,NA,NA,NA,NA,NA,14992.79186061,281770.08650229,296762.8783629,"Australia"
"31",2011,"AUS",100,99.9563903808594,15042394,7572959,7469448,22340024,67.3338287632519,19056040,NA,23.2937532266391,15275.793628,8829.314,41755.7208728242,52567.7619238659,NA,NA,105.5506209,79.48769771,24.63395046,NA,2.23765,17.5388777559057,85.3,82.2099990844727,NA,"AUS2011",1008437,15190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1277,34082,57.161979772269,NA,78.016258539405,5164883847.2106,13801954227.285,1.8048769537675,3515843602.4723,NA,NA,NA,NA,NA,NA,NA,15275.793628,284788.79820055,300064.59182855,"Australia"
"32",2012,"AUS",100,99.9853515625,15250481,7666241,7584244,22733465,67.0838407422162,19414834,NA,23.4803275723992,15568.963881337,NA,43317.8910180008,53682.0321439532,NA,NA,106.2611564,79,25.03935129,NA,NA,17.0729046803908,85.402,82.8300018310547,NA,"AUS2012",1112032,16032.356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300,34091,57.184419533054,NA,77.65067755592,6602253137.6371,15900879666.178,1.8630024315453,5758438995.3117,NA,NA,NA,NA,NA,NA,NA,15568.963881337,287595.20072479,303164.16460613,"Australia"
"33",2013,"AUS",100,99.9976654052734,15455787,7757084,7698697,23128129,66.8267948368588,19775013,NA,24.0994988515348,15543.667841316,NA,42989.1215326369,54129.9357689465,NA,NA,107.2461548,83.45349717,25.71929639,NA,2.1787,16.0980528948105,85.502,83.1600036621094,NA,"AUS2013",1136227,16435.864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1187,35059,51.322785340742,NA,69.089570583,4975556295.7156,12734390340.039,1.5851361739548,4636538436.3651,NA,NA,NA,NA,NA,NA,NA,15543.667841316,290398.01235836,305941.68019968,"Australia"
"34",2014,"AUS",100,100,15623408,7829949,7793452,23475686,66.5514444053048,20095657,NA,24.7445021135427,15571.083308422,NA,42497.536476544,54679.4164458288,NA,NA,106.2025331,84,27.69911237,NA,NA,15.3911090819668,85.602,82.8600006103516,NA,"AUS2014",1113230,16853.319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1151,35552,49.029451152141,NA,65.273511039475,4320269257.6053,10438895603.571,1.3589985799453,3210818133.5812,NA,NA,NA,NA,NA,NA,NA,15571.083308422,294665.06203046,310236.14533888,"Australia"
"35",2015,"AUS",100,100,15780014,7899670,7880342,23815995,66.2580494091257,20410546,NA,NA,16016.860652115,NA,42266.7717335481,55079.8923433681,NA,NA,107.6778349,84.56051491,28.53023892,NA,1.91943,15.3397835782213,85.701,82.9400024414063,123.88758,"AUS2015",1155408,17200.552,NA,NA,NA,NA,NA,NA,NA,873573,NA,NA,NA,NA,NA,1204,37082,50.554259857713,NA,66.860038782154,2796273621.706,10457074592.58,1.2046034687902,1206142727.1151,NA,NA,NA,NA,NA,NA,NA,16016.860652115,300052.75152382,316069.61217593,"Australia"
"36",2016,"AUS",100,100,15943398,7978294,7965067,24190907,65.9065730162399,20755798,NA,NA,16503.758569102,NA,41659.2466613787,55728.6822551091,NA,NA,109.4312952,86.54,30.39231558,NA,NA,15.5392204599852,85.8,82.9499969482422,120.53023,"AUS2016",1178133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1293,38945,53.449835510508,NA,70.320902613653,2563852635.6123,11863364266.724,1.2923357062083,836243492.05602,NA,NA,NA,NA,NA,NA,NA,16503.758569102,307191.95805715,323695.71662625,"Australia"
"37",2017,"AUS",100,100,16121831,8066288,8055501,24601860,65.5309417025767,21133982,NA,NA,17039.193726877,NA,43091.4266841031,56058.4659514366,NA,NA,108.4417819,86.54504885,32.22339821,NA,1.87372,NA,85.904,83.0999984741211,119.70183,"AUS2017",1189116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1223,NA,49.711688465831,NA,65.118295930335,3825342109.5036,13676319910.035,1.4595751822806,600406173.23486,NA,NA,NA,NA,NA,NA,NA,17039.193726877,312474.52483469,329513.71856156,"Australia"
"38",2018,"AUS",100,100,16276948,8144071,8132842,24982688,65.1529077338752,21488110,NA,NA,17585.947168902,NA,42728.4143397656,56832.0504820575,NA,NA,111.012255,NA,33.8471546,NA,NA,NA,86.012,83.5400009155273,110.44966,"AUS2018",1121396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1137,NA,45.511515814471,NA,59.301280704255,5025635392.8338,14717863170.703,1.6858562177006,556760873.50134,NA,NA,NA,NA,NA,NA,NA,17585.947168902,313901.32762901,331487.27479791,"Australia"
"39",2019,"AUS",NA,NA,16436921,8225253,8211657,25364307,64.8033515429272,21845994,NA,NA,NA,NA,NA,57186.6212930671,NA,NA,110.6208823,NA,34.7290451,NA,NA,NA,86.124,83.4199981689453,NA,"AUS2019",1034379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1195,NA,47.113449620366,NA,61.265584977904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Australia"
"40",2020,"AUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AUS2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Australia"
"41",2001,"AUT",100,99.9254608154297,5458858,2743864,2715032,8042293,67.8768837953466,4820068,NA,30.2536231884058,8240,5697,35277.0762293596,42370.9302536426,NA,NA,80.77554402,39.18545018,3.959125426,NA,1.9921,8.1914020043786,59.934,86.5800018310547,102.7779,"AUT2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,958,56265,119.12025587727,43073,171.6538254793,1.071e+09,6.4e+08,0.77587546958378,NA,8.1e+07,NA,3.38e+08,5.2e+08,NA,NA,1.7e+07,8240,NA,NA,"Austria"
"42",2002,"AUT",100,99.8642807006836,5487686,2755707,2732017,8081957,67.900457955658,4821291,NA,32.4648408586232,8300,5779,36031.3158815396,42859.3299380524,NA,NA,82.8086898,36.56,5.54434666,2965.68455,2.06598,8.29140244126515,59.655,86.5,102.7276,"AUT2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,956,56684,118.28818193415,43175,168.19141449683,1.191e+09,5.32e+08,0.7603582716439,NA,1.02e+08,1e+06,3.39e+08,2.94e+08,NA,NA,1.7e+07,8300,NA,NA,"Austria"
"43",2003,"AUT",100,99.811767578125,5512293,2765301,2747006,8121423,67.8734889036641,4822095,NA,32.2673620642328,8249,5752,36189.7539992039,43052.602598004,NA,NA,88.96932087,42.7,7.350915843,NA,2.17456,8.84757080132386,59.375,86.9599990844727,102.31003,"AUT2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,931,56881,114.63508303902,43426,171.8029156671,1.145e+09,6.5e+08,0.77545972728832,NA,1.58e+08,3e+06,3.35e+08,3.88e+08,NA,NA,1.7e+07,8249,NA,NA,"Austria"
"44",2004,"AUT",100,99.7770462036133,5544123,2778775,2765341,8171966,67.8431945263396,4829142,NA,32.2336398053002,8295,5766,37042.8047612239,43956.5829032552,NA,NA,97.26408257,54.28,10.58805704,3158.79469,2.16612,8.82785011587175,59.094,87.4499969482422,102.36296,"AUT2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,878,55857,107.44048616942,42657,159.46240464947,1.335e+09,7.2e+08,0.85290482382667,NA,2.4e+08,1.2e+07,3.41e+08,4.58e+08,NA,NA,NA,8295,NA,NA,"Austria"
"45",2005,"AUT",100,99.7654571533203,5581012,2795313,2785700,8227829,67.8309232884845,4839033,NA,32.9309188464118,8470,5782,37466.7894265721,44637.8560109729,NA,NA,104.9838556,58,14.22400998,3449.33454,2.37324,8.97159019712247,58.813,87.0500030517578,101.87411,"AUT2005",345593,4524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,768,53234,93.341755158013,40896,137.7331420373,1.33e+09,6.87e+08,0.79661507862461,NA,3.62e+08,7e+06,3.02e+08,4.43e+08,NA,NA,NA,8470,NA,NA,"Austria"
"46",2006,"AUT",100,99.7746963500977,5601862,2804354,2797470,8268641,67.7482754787581,4839801,NA,32.4151363383417,9296,5818,38821.266744475,45951.7346365426,NA,NA,112.0170885,63.6,17.2835331,3524.13895,2.35923,8.68561048907553,58.532,86.9499969482422,101.21846,"AUT2006",347387,4579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,730,51930,88.285366361897,39884,129.27217991854,1.489e+09,8.02e+08,0.85802472477774,NA,2.17e+08,7e+06,3.62e+08,4.95e+08,NA,NA,NA,9296,NA,NA,"Austria"
