"","CountryCode","Population, total","Population ages 15-64, total","Population ages 15-64 (% of total population)","Population ages 15-64, male","Population ages 15-64, female","Urban population","Urban population (% of total population)","Urban land area (sq. km)","Adjusted net national income per capita (constant 2010 US$)","GDP per capita (constant 2010 US$)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Gross enrolment ratio, lower secondary, both sexes (%)","Access to electricity (% of population)","Access to electricity, urban (% of urban population)","Public private partnerships investment in ICT (current US$)","Investment in ICT with private participation (current US$)","Mobile cellular subscriptions (per 100 people)","Individuals using the Internet (% of population)","Fixed broadband subscriptions (per 100 people)","Researchers in R&D (per million people)","Research and development expenditure (% of GDP)","CO2 emissions (metric tons per capita)","CO2 emissions from transport (% of total fuel combustion)","Railways, passengers carried (million passenger-km)","Rail lines (total route-km)","Accidents involving casualities (nbr)","Road accidents deaths (nbr)","Road accidents deaths (per 1MM habitants)","Road accidents deaths (per 1MM vehicles)","Road accidents injury (nbr)","Passenger transport by rail (MM pkm)","Passenger transport by road (MM pkm)","Passenger transport by inland (MM pkm)","Infrastructure investment rail (eur)","Infrastructure investment road (eur)","Infrastructure investment inland total (percentage GDp)","Infrastructure investment sea (eur)","Infrastructure investment air (eur)","Infrastructure investment inland waterways (eur)","Infrastructure maintenance rail (eur)","Infrastructure maintenance road (eur)","Infrastructure maintenance air (eur)","Infrastructure maintenance sea (eur)","Infrastructure maintenance inland waterways (eur)","Number of registered passenger cars (in thousand)","Number of taxis or taxicabs (in thousand)","Total number of registered motorcycles (in thousand)","Number of public buses (in thousand)","Number of traffic accident casualties (injuries) by road","Total number of registered buses (in thousand)","Total number of registered road motor vehicles (in thousand)","Vehicles in Use","Registrations or Sales of New Vehicles","the total length of the road network and includes the length of the paved and unpaved portions (km)","Number of Charging Station","Number of Car Sharing","Number of Public Transport Node","Google Trends for Grab","Google Trends for Google Maps","Country","Group"
"18","BGR","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Bulgaria",4
"19","HRV","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Croatia",4
"20","CYP","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Cyprus",4
"21","CZE","O","O","O","O","O","O","O","X","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","O","O","O","O","O","X","O","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Czech Republic",4
"22","DNK","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","X","X","X","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Denmark",4
"23","EST","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","X","X","X","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Estonia",4
"24","FIN","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Finland",4
"25","FRA","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","O","O","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","France",4
"26","DEU","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","X","X","X","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Germany",4
"27","GRC","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","X","X","X","X","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Greece",4
"28","HUN","O","O","O","O","O","O","O","X","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","O","O","O","O","O","X","O","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Hungary",4
"29","IRL","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","X","O","O","O","X","X","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Ireland",4
"30","ITA","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","O","X","X","X","X","X","X","X","O","O","O","X","X","X","X","X","Italy",4
