"","id","country","year","grab","gmaps"
"94","Myanmar2007","Myanmar","2007",14.6666666666667,2.91666666666667
"95","Myanmar2008","Myanmar","2008",0,13.3333333333333
"96","Myanmar2009","Myanmar","2009",2.41666666666667,18
"97","Myanmar2010","Myanmar","2010",1.75,23.0833333333333
"98","Myanmar2011","Myanmar","2011",0,37.0833333333333
"99","Myanmar2012","Myanmar","2012",0.916666666666667,33.3333333333333
"100","Myanmar2013","Myanmar","2013",0.916666666666667,31.75
"101","Myanmar2014","Myanmar","2014",2,33.6666666666667
"102","Myanmar2015","Myanmar","2015",1.33333333333333,37
"103","Myanmar2016","Myanmar","2016",3.25,29.5
"104","Myanmar2017","Myanmar","2017",17.4166666666667,38.0833333333333
"105","Myanmar2018","Myanmar","2018",32.1666666666667,34.4166666666667
"106","Myanmar2019","Myanmar","2019",28.5,14.9166666666667
"107","Myanmar2020","Myanmar","2020",15.6666666666667,9.41666666666667
"108","Myanmar2021","Myanmar","2021",11,5
"109","Philippines2004","Philippines","2004",2.16666666666667,0
"110","Philippines2005","Philippines","2005",2.41666666666667,5.25
"111","Philippines2006","Philippines","2006",4.08333333333333,9.58333333333333
"112","Philippines2007","Philippines","2007",3.08333333333333,16.0833333333333
"113","Philippines2008","Philippines","2008",3.16666666666667,25.8333333333333
"114","Philippines2009","Philippines","2009",3.33333333333333,48.5833333333333
"115","Philippines2010","Philippines","2010",2.75,72
"116","Philippines2011","Philippines","2011",2.58333333333333,78.9166666666667
"117","Philippines2012","Philippines","2012",2.16666666666667,66.1666666666667
"118","Philippines2013","Philippines","2013",2.41666666666667,60.0833333333333
"119","Philippines2014","Philippines","2014",2.83333333333333,67
"120","Philippines2015","Philippines","2015",3.83333333333333,55.0833333333333
"121","Philippines2016","Philippines","2016",13.0833333333333,54.3333333333333
"122","Philippines2017","Philippines","2017",53.4166666666667,56.6666666666667
"123","Philippines2018","Philippines","2018",77.8333333333333,51.5
"124","Philippines2019","Philippines","2019",91.6666666666667,49.5
"125","Philippines2020","Philippines","2020",64.9166666666667,37.9166666666667
"126","Philippines2021","Philippines","2021",53,35
"127","Singapore2004","Singapore","2004",0,0
"128","Singapore2005","Singapore","2005",0,5.25
"129","Singapore2006","Singapore","2006",0,9.58333333333333
"130","Singapore2007","Singapore","2007",0,16.0833333333333
"131","Singapore2008","Singapore","2008",0,25.8333333333333
"132","Singapore2009","Singapore","2009",8.33333333333333,48.5833333333333
"133","Singapore2010","Singapore","2010",0,72
"134","Singapore2011","Singapore","2011",3.5,78.9166666666667
"135","Singapore2012","Singapore","2012",2.91666666666667,66.1666666666667
"136","Singapore2013","Singapore","2013",0,60.0833333333333
"137","Singapore2014","Singapore","2014",0.416666666666667,67
"138","Singapore2015","Singapore","2015",1.25,55.0833333333333
"139","Singapore2016","Singapore","2016",1.08333333333333,54.3333333333333
"140","Singapore2017","Singapore","2017",3.91666666666667,56.6666666666667
"141","Singapore2018","Singapore","2018",8.5,51.5
"142","Singapore2019","Singapore","2019",6.58333333333333,49.5
"143","Singapore2020","Singapore","2020",5.58333333333333,37.9166666666667
"144","Singapore2021","Singapore","2021",6,35
"145","Thailand2004","Thailand","2004",7.75,0
"146","Thailand2005","Thailand","2005",9,9.08333333333333
"147","Thailand2006","Thailand","2006",13.0833333333333,10.6666666666667
"148","Thailand2007","Thailand","2007",14.25,25.5
"149","Thailand2008","Thailand","2008",16.6666666666667,52.5
"150","Thailand2009","Thailand","2009",9.58333333333333,83.5
"151","Thailand2010","Thailand","2010",5.91666666666667,64
"152","Thailand2011","Thailand","2011",4.33333333333333,53.4166666666667
"153","Thailand2012","Thailand","2012",5,67.25
"154","Thailand2013","Thailand","2013",3.66666666666667,74.3333333333333
"155","Thailand2014","Thailand","2014",3,76.6666666666667
"156","Thailand2015","Thailand","2015",23.25,62.1666666666667
"157","Thailand2016","Thailand","2016",12.6666666666667,47.5833333333333
"158","Thailand2017","Thailand","2017",25.5833333333333,53.0833333333333
"159","Thailand2018","Thailand","2018",39.75,51
"160","Thailand2019","Thailand","2019",44.6666666666667,47.0833333333333
"161","Thailand2020","Thailand","2020",21.5833333333333,31.9166666666667
"162","Thailand2021","Thailand","2021",20,24
"163","Viet Nam2004","Viet Nam","2004",0,0
"164","Viet Nam2005","Viet Nam","2005",0,3.08333333333333
"165","Viet Nam2006","Viet Nam","2006",0,14.1666666666667
"166","Viet Nam2007","Viet Nam","2007",0,28.8333333333333
"167","Viet Nam2008","Viet Nam","2008",0,37.5
"168","Viet Nam2009","Viet Nam","2009",0,47.9166666666667
"169","Viet Nam2010","Viet Nam","2010",15,66.0833333333333
"170","Viet Nam2011","Viet Nam","2011",2.5,69.0833333333333
"171","Viet Nam2012","Viet Nam","2012",5.41666666666667,68.5
"172","Viet Nam2013","Viet Nam","2013",1.5,54.1666666666667
"173","Viet Nam2014","Viet Nam","2014",2.41666666666667,45.0833333333333
"174","Viet Nam2015","Viet Nam","2015",3.33333333333333,82.5833333333333
"175","Viet Nam2016","Viet Nam","2016",3.83333333333333,51.1666666666667
"176","Viet Nam2017","Viet Nam","2017",6.41666666666667,50.5833333333333
"177","Viet Nam2018","Viet Nam","2018",25.9166666666667,39.0833333333333
"178","Viet Nam2019","Viet Nam","2019",30.0833333333333,48.5833333333333
"179","Viet Nam2020","Viet Nam","2020",19.6666666666667,45.3333333333333
"180","Viet Nam2021","Viet Nam","2021",8,42
